ID,smiles,MW,logP,norm_MW,TPSA,BalabanJ,MolMR,BertzCT,LabuteASA,split_MW,split_logP,split_norm_MW,split_TPSA,split_BalabanJ,split_BertzCT,split_LabuteASA
ZINC02232879,N#CC1=C(N)Oc2c(oc(CO)cc2=O)[C@@H]1c1ccsc1,302.311,1.4117799999999998,14.395761904761903,109.48000000000002,2.2952194108722783,74.51720000000002,814.4849329309038,122.86472526647917,test_in,train,train,nan,nan,train,train
ZINC02645217,NC(=O)CSc1nnc(-c2ccc3c(c2)OCO3)n1-c1ccccc1,354.391,2.2404,14.175640000000001,92.26000000000002,1.806303143582856,92.8364,926.8973243391512,147.31308144062848,train,train,train,train,train,train,train
ZINC66951701,Cc1c(NC(=O)NC[C@]2(O)CCCc3ccccc32)cccc1[N+](=O)[O-],355.39400000000006,3.248820000000002,13.669000000000002,104.5,1.689448283739988,98.13160000000003,852.427919299302,150.74571691476373,train,train,train,nan,train,val,train
ZINC44234152,COc1c(Br)cc([C@@H](N)CCO)c(O)c1Br,355.02599999999995,2.3080000000000007,22.189124999999997,75.71000000000001,3.222832320288904,68.69,384.81715823752455,110.66817021927774,train,train,test_ex,train,test_ex,test_in,test_in
ZINC66178087,CN(C(=O)N[C@H]1CC[C@@H](c2ccccc2)CC1)[C@H]1CC[N@](C2CCOCC2)CC1,399.57900000000035,3.997600000000003,13.778586206896565,44.81,1.1912050309750573,116.16970000000008,630.78567399849,175.32746457161372,val,train,train,train,train,val,nan
ZINC16133516,COc1cn(-c2ccccc2)nc1C(=O)OCC(=O)N(CCC(N)=O)c1ccccc1,422.4410000000002,1.9462999999999995,13.627129032258072,116.75,1.7169508497257913,113.00490000000002,1050.277925235904,178.5188009157233,nan,train,train,nan,train,val,nan
ZINC51570555,NCc1ccc(Oc2cccc(I)c2)nn1,327.125,2.3322000000000003,20.4453125,61.03,2.140319986681389,69.1564,472.91082065006617,106.97646301781857,train,train,test_ex,val,nan,train,val
ZINC09743697,Cc1ccc2c(CSc3nc(N)c4ccsc4n3)cc(=O)oc2c1,355.44400000000013,3.9806200000000027,14.810166666666673,82.01,1.6961616644740805,98.60940000000002,1117.9233992549243,145.0907094965599,train,train,test_in,train,train,train,val
ZINC30542625,CCN1C(=O)c2ccccc2N[C@@H]1c1ccc(N(C)C)cc1,295.386,3.339000000000002,13.426636363636364,35.580000000000005,1.9739941032052766,90.28520000000005,678.9865534912798,130.90337048246997,val,train,train,train,train,test_in,train
ZINC39605567,COc1c2c(c(CS[C@H]3N=c4ccccc4=NC3=O)c(OC)c1OC)C(=O)OC2,414.4390000000003,1.4216999999999997,14.291000000000011,95.78000000000002,1.7439741148470231,104.06150000000004,1130.7669547731052,170.08735204887603,nan,train,train,test_in,train,val,nan
ZINC21973536,Cc1ccc(NC(=O)COC(=O)CN2C(=O)N[C@]3(C[C@H](C)CC(C)(C)C3)C2=O)cc1,415.4900000000003,2.6135200000000003,13.849666666666677,104.81,1.5461407876834676,110.53940000000006,864.028910109175,175.87800630988562,nan,train,test_in,nan,train,train,nan
ZINC02249550,COc1ccc([C@@H]2C3=C(Nc4ncnn42)c2ccccc2O[C@H]3c2ccc(OC)c(OC)c2)cc1,468.51300000000026,4.863800000000004,13.386085714285722,79.66000000000001,1.5857186553249811,131.05469999999997,1427.3842365917617,202.28693973876557,nan,nan,train,train,train,test_ex,test_ex
135402960,CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(N)cc3)[nH]c(=O)c12,448.7410000000002,4.804400000000003,15.473827586206903,89.59,1.9284972959034263,117.5541,1255.001764425439,180.77982330310542,nan,nan,nan,val,train,nan,nan
ZINC16525299,N/C(=N/OC(=O)c1sc2ccccc2c1Cl)c1nonc1N,337.7480000000001,1.9971999999999999,15.352181818181823,129.62,1.8474097600726884,81.68530000000001,887.9043151074923,131.78422312980527,train,train,nan,nan,train,train,train
ZINC34779524,CCCn1c(=O)c2c(C)c(C(=O)NN)sc2n(Cc2cc(C)ccc2C)c1=O,400.5040000000002,2.21176,14.303714285714292,99.12,2.3663439867982285,112.04460000000003,1186.8496793372763,165.93375617895128,nan,train,train,train,nan,train,train
ZINC39451697,CCO[C@H]1CC(=O)c2c(c3ncc(O)cc3c(=O)n2Cc2ccccc2)N1,365.38900000000007,2.5113000000000003,13.532925925925928,93.45000000000002,1.971166556267121,101.196,1076.017265415715,154.78393620403338,test_in,train,train,train,train,train,train
6539370,Fc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1F,324.2940000000001,3.208100000000001,13.512250000000003,68.0,1.6952925225768496,83.65370000000001,1029.9443948810865,134.36018397689338,val,train,train,train,train,train,train
ZINC12769318,NC(=O)CSc1ccccc1NC(=O)CCCC[C@H]1[C@@H]2NC(=O)N[C@@H]2CS1(=O)=O,440.54700000000014,0.6099000000000007,15.19127586206897,147.45999999999998,1.4603080136173063,110.27630000000003,905.2674739846382,173.0215981403178,nan,train,nan,test_ex,train,val,nan
ZINC36504533,CC(C)(C)CC(C)(C)NC(=O)[C@H](c1c(O)cc(O)cc1O)N(Cc1ccco1)C(=O)[C@@H]1CCC(=O)N1,501.5800000000003,3.0759000000000007,13.932777777777787,152.34,2.110055332035639,130.89380000000003,1096.0478658022225,209.84289486059308,test_ex,train,train,test_ex,nan,train,test_ex
ZINC58481252,COc1cc(/C=C(/C#N)c2nc(N)nc(N(C)C)n2)cc(Br)c1O,391.22900000000004,2.06068,16.301208333333335,121.17999999999999,2.5519877956308084,94.40920000000003,844.5884129554242,146.91512155862495,train,train,test_ex,nan,test_ex,train,val
ZINC65161999,CC[C@@]1(C)NC(=O)N(NC(=O)CN(Cc2ccc(C)s2)C(C)C)C1=O,366.4870000000001,2.01862,14.659480000000004,81.75,1.9939883181105889,96.81840000000005,672.6051660469283,151.88427675152425,test_in,train,train,val,train,train,train
ZINC40784318,COC[C@H](C)Nc1ncnc(Nc2nc3ccc(OC)cc3s2)c1N,360.44300000000015,2.8675000000000006,14.417720000000006,107.21000000000001,1.8257852081649684,100.85980000000004,868.9522673911995,148.96088516577288,train,train,train,nan,train,train,train
ZINC02221297,CCCCNc1ncnc2c1sc1nc(CCCC)c3c(c12)CCC3,354.5230000000002,5.282800000000005,14.180920000000008,50.7,1.85625301470524,106.75070000000005,899.7241483233818,152.6524336846599,train,test_ex,train,train,train,train,test_in
ZINC08947555,CC(C)(C)c1ccc([C@@]2(C)NC(=O)N(CC(=O)NC(N)=O)C2=O)cc1,346.3870000000001,0.9459999999999997,13.855480000000005,121.6,2.240934473947156,90.46480000000003,736.0098964878689,145.28547235893768,train,train,train,nan,nan,train,test_in
ZINC45552380,C[C@@](N)(CCCSc1ccccc1Br)C(N)=O,317.2520000000001,2.5241000000000002,18.661882352941184,69.11,2.3468625950090707,75.88680000000002,395.8469479612246,114.45301693095242,train,train,test_ex,val,nan,train,train
ZINC65425640,NCCc1nc(N2CCN(c3cn[nH]c(=O)c3)CC2)c2ccccc2n1,351.4140000000001,0.5409000000000002,13.51592307692308,104.02999999999999,1.597932404420566,101.58010000000002,962.9108787619354,150.2221090198006,train,train,train,nan,train,train,train
ZINC39671386,CCC[C@@H](C)C(=O)N1C[C@@H](C(=O)NCc2cc3ccccc3[nH]2)C2(CCNCC2)C1,410.56200000000024,3.0485000000000015,13.685400000000008,77.23,1.4608242827338034,118.82410000000006,866.4979127919771,178.33224183304077,nan,train,train,train,train,train,nan
ZINC09273510,CCOc1cc([C@@H]2C(C(=O)c3ccc(Cl)cc3)=C(O)C(=O)N2c2nc(C)c(C)s2)ccc1O,484.96100000000024,5.300540000000005,14.695787878787886,99.96000000000001,1.8957289382661737,126.52810000000004,1263.0067540451123,199.0828044579105,nan,test_ex,train,train,train,nan,nan
ZINC37291238,Nc1cc(-c2ccc(Br)o2)nn1-c1ccc(F)cc1F,340.127,3.7552000000000003,17.00635,56.98,2.089103893378738,73.29440000000001,781.7718067415075,120.48566336116927,test_in,train,test_ex,train,nan,train,val
ZINC43238534,C[C@@H](N)[C@@H](Sc1nc(N)cc(N)n1)c1cnn(C)c1,279.373,0.5550999999999998,14.703842105263158,121.66,2.259104192729717,76.3122,545.671386033116,115.13757731840468,train,train,train,nan,nan,train,val
ZINC45166336,Nc1cccc(Cl)c1S(=O)(=O)N1CCOc2ccccc21,324.78900000000004,2.509900000000001,15.46614285714286,72.63000000000001,2.1676915430319657,82.33320000000002,772.3061712662413,127.48986211684473,train,train,nan,train,nan,train,train
ZINC06808069,CC[C@@]1(C)CC(=O)c2c(ccc3oc(C(=O)Nc4c(C)cccc4C)c(C)c23)O1,391.46700000000016,5.744260000000005,13.498862068965522,68.54,1.7874748586027,113.09170000000005,1137.137319906991,169.59453272501239,val,test_ex,train,train,train,train,train
ZINC06607216,C[C@H]1CCCC[C@@H]1NC(=O)NC(=O)CSc1n[nH]c(N)n1,312.399,0.8835000000000002,14.876142857142858,125.78999999999999,1.7006395280964712,79.61350000000002,505.6920210825353,126.57767235092741,train,train,train,nan,train,train,train
ZINC01259821,S=c1[nH]nc(-c2cccnc2)n1/N=C/c1ccccc1Cl,315.7890000000001,3.5382900000000017,15.037571428571434,58.86,2.0246266448881265,85.08670000000002,837.8256345771271,130.48456804505716,train,train,nan,val,nan,train,train
ZINC37139886,Cc1nc2ccc(N[C@H]3COc4cc(O)ccc43)cc2[nH]1,281.31499999999994,3.1225200000000006,13.395952380952378,70.17000000000002,1.6366305535085568,80.79620000000003,825.5001950495589,121.14560661422854,train,train,train,train,train,train,test_in
ZINC12849209,C[C@@H]1C[C@@H](C)N(C(=O)c2cc3n(n2)[C@@H](C(F)(F)F)C[C@@H](c2ccco2)N3)[C@@H](C)C1,410.44000000000017,4.785500000000003,14.153103448275868,63.300000000000004,1.6629476171368225,100.49920000000004,864.9185136569995,166.59046938933,nan,nan,val,test_in,test_in,train,test_in
ZINC66057837,N#Cc1cccc(NC(=O)CN2C(=O)N[C@]3(CCc4ccccc4C3)C2=O)c1,374.4000000000001,1.9762799999999998,13.371428571428575,102.30000000000001,1.4742563794946693,101.22940000000003,1026.3059184824867,161.4980180670915,train,test_in,val,nan,train,train,val
ZINC11255745,C[C@@]1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)NN2C(=O)NC3(CCCCC3)C2=O)C1=O,447.87900000000036,1.3928999999999994,14.447709677419367,127.91999999999999,1.4440164784432807,108.38510000000005,974.6775775209484,182.77336589902816,nan,train,val,nan,train,train,nan
ZINC14251832,O=C(CCNC1=NS(=O)(=O)c2ccccc21)NN1C(=O)NC2(CCCCC2)C1=O,419.4630000000003,0.4010999999999998,14.464241379310355,137.04,1.3337549885550954,102.12090000000005,1013.22309570238,167.3134359513376,nan,train,train,test_ex,train,train,val
ZINC39217323,COc1ccc(-c2[nH]ncc2[C@@H]2N=C(N)N[C@@H]3Nc4ccccc4N32)cc1,361.4090000000001,2.2174999999999994,13.385518518518522,103.58999999999999,1.5946147878426835,104.4065,1010.9074558524817,155.5992761023177,train,train,train,nan,val,train,test_in
ZINC39960152,CCCc1ccc(Oc2c(C)n[nH]c2-c2ccc(OCC)c(C)c2O)cc1,366.4610000000001,5.542640000000006,13.572629629629635,67.37,1.9411647629797983,106.84250000000003,914.052479840105,159.5187725139766,train,test_ex,val,train,train,train,train
ZINC62726310,N#Cc1c(F)cccc1NCCc1ccccc1[N+](=O)[O-],285.278,3.260180000000002,13.584666666666667,78.96,2.080384603321466,76.40510000000002,710.3051847914575,120.34427665925361,train,train,train,train,nan,train,train
ZINC09691309,O=C(CN1C(=O)N[C@]2(CCOc3ccccc32)C1=O)NC(=O)NC1CCCC1,386.4080000000002,0.9845999999999998,13.800285714285721,116.84,1.4345855343396923,97.40710000000004,835.3678200939802,161.32721099677468,train,train,train,nan,train,train,train
ZINC39609560,CCOc1cccc(CCNC(=O)[C@H]2CN(C(=O)[C@@H]3COc4ccccc4O3)CC23CCNCC3)c1,493.6040000000003,2.4121999999999995,13.711222222222231,89.13000000000001,1.2282053645427995,135.28439999999998,1084.3597580023572,211.83331562134666,nan,train,train,train,test_in,train,test_ex
45139609,NC(=O)c1nn(-c2ccccc2)c2c1CCc1cnc(NC3CCCC3)nc1-2,374.4480000000002,2.8813000000000013,13.373142857142865,98.72000000000001,1.6499091458848352,106.39460000000003,1036.5494146604267,162.5512705392578,train,train,train,test_in,train,train,train
ZINC48501906,Oc1ccccc1/C=N/Cc1nnc2n1CCCC2,256.30899999999997,1.9391,13.489947368421051,63.300000000000004,1.7275448080300824,72.36480000000002,603.2434746014826,111.18875653437492,train,train,train,train,train,train,train
ZINC36352806,Cc1ccsc1[C@@H]1CC(=O)Nc2c1c(C)nn2-c1ccc(Cl)nn1,359.8420000000001,3.4681400000000018,14.99341666666667,72.7,1.8886240212862544,93.04670000000003,930.5984117363279,147.0344677182824,train,train,train,train,val,train,train
ZINC61503064,Cc1ccc([C@H](CNC(=O)c2ccccc2SCC(N)=O)N2CCCC2)cc1,397.54400000000027,3.1393200000000014,14.19800000000001,75.42999999999999,1.7150001144710387,113.42060000000004,816.7865075131547,170.22782809227476,train,train,train,train,val,train,nan
ZINC09798808,CN(c1cccc(Cl)c1)S(=O)(=O)c1cccc(C(=O)NN2C(=O)NC3(CCCCC3)C2=O)c1,490.9690000000004,3.064600000000002,14.877848484848498,115.88999999999999,1.5445531851763297,122.14270000000005,1226.7969197083578,196.26439230975447,nan,train,val,nan,train,nan,nan
ZINC18104100,COC(=O)c1c(C)[nH]c(C(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)CCC4)CC2)c1C,445.5410000000004,2.05354,14.372290322580659,99.78,1.4743248317079407,114.73550000000004,1144.136485343942,181.78233347469242,nan,train,test_in,val,train,train,nan
ZINC32964468,[H]/N=C1C(=C\c2cccn2-c2ccc([N+](=O)[O-])cc2Cl)/C(=O)N=C2SC(C3CCCCC3)=NN2/1,482.9530000000003,5.238370000000004,14.634939393939403,116.95,1.4998560439302575,129.0191,1311.4583525363744,199.489704981778,nan,test_ex,train,nan,train,nan,nan
ZINC41196788,N#Cc1ccc(NC(=O)C(=O)N[C@H]2CCc3ccccc32)cc1Cl,339.78200000000004,2.9538800000000016,14.157583333333335,81.99000000000001,1.648848422758801,90.44340000000001,857.58264484116,143.79093333406547,train,train,train,train,train,train,test_in
ZINC37265030,CC(C)C[C@H](C)NC(=O)c1cc([N+](=O)[O-])ccc1Cl,284.743,3.412600000000002,14.986473684210527,72.24,2.867955121505325,74.48960000000002,488.7767153299972,116.65362415330651,train,train,val,train,test_ex,train,train
ZINC07787382,CC1(C)C(c2ccco2)=[N+]([O-])[C@]2(CCCC/C2=N\NC(N)=O)N1O,335.364,1.357,13.9735,130.16,2.167385769855627,85.50200000000002,709.4564347194121,138.50683896764446,train,train,train,test_ex,nan,train,train
